"","control","test"
"1",0,0
"2",1,1
"3",0,0
"4",0,0
"5",0,0
"6",1,1
"7",1,1
"8",1,0
"9",1,0
"10",1,1
"11",1,0
"12",0,0
"13",1,1
"14",1,0
"15",0,1
"16",1,1
"17",1,1
"18",0,1
"19",0,1
"20",1,0
"21",0,0
"22",0,1
"23",0,1
"24",0,1
"25",1,0
"26",0,0
"27",0,1
"28",1,0
"29",0,1
"30",1,1
"31",0,1
"32",1,1
"33",1,1
"34",1,1
"35",0,1
"36",0,1
"37",1,0
"38",1,0
"39",0,0
"40",0,1
"41",1,1
"42",1,1
"43",0,0
"44",0,1
"45",0,1
"46",0,0
"47",1,0
"48",0,1
"49",0,1
"50",0,0
"51",0,0
"52",0,0
"53",1,1
"54",0,0
"55",1,1
"56",1,0
"57",1,1
"58",0,0
"59",1,0
"60",0,1
"61",0,1
"62",0,0
"63",0,1
"64",1,1
"65",0,0
"66",0,1
"67",0,1
"68",1,0
"69",1,1
"70",1,1
"71",0,1
"72",1,0
"73",0,0
"74",0,0
"75",1,1
"76",0,1
"77",1,1
"78",0,0
"79",0,0
"80",0,0
"81",1,0
"82",1,1
"83",1,0
"84",0,1
"85",1,0
"86",0,1
"87",1,1
"88",0,1
"89",0,0
"90",1,1
"91",1,0
"92",0,0
"93",1,1
"94",0,0
"95",0,1
"96",0,0
"97",0,1
"98",1,1
"99",0,1
"100",1,1
"101",1,0
"102",0,1
"103",1,1
"104",1,1
"105",0,1
"106",1,0
"107",0,1
"108",1,1
"109",0,1
"110",0,0
"111",1,1
"112",1,0
"113",1,1
"114",0,1
"115",0,1
"116",1,1
"117",1,1
"118",0,0
"119",0,0
"120",1,0
"121",0,1
"122",0,0
"123",0,0
"124",0,1
"125",1,0
"126",0,1
"127",1,1
"128",0,1
"129",1,0
"130",0,0
"131",0,0
"132",0,1
"133",1,0
"134",1,0
"135",1,0
"136",0,0
"137",0,0
"138",1,1
"139",0,1
"140",0,1
"141",0,1
"142",1,0
"143",0,0
"144",0,0
"145",0,0
"146",0,1
"147",1,0
"148",0,1
"149",1,0
"150",0,1
"151",1,1
"152",0,1
"153",1,0
"154",0,1
"155",1,1
"156",1,1
"157",1,0
"158",0,0
"159",1,1
"160",1,0
"161",1,0
"162",0,0
"163",1,0
"164",0,1
"165",0,1
"166",1,0
"167",0,0
"168",1,1
"169",1,0
"170",1,0
"171",1,1
"172",1,1
"173",1,0
"174",0,1
"175",1,1
"176",0,1
"177",1,1
"178",0,1
"179",0,0
"180",0,1
"181",0,1
"182",1,0
"183",0,0
"184",0,1
"185",0,1
"186",0,0
"187",1,0
"188",0,0
"189",0,0
"190",1,0
"191",1,0
"192",0,0
"193",1,0
"194",1,1
"195",0,1
"196",1,1
"197",0,0
"198",0,1
"199",0,1
"200",1,1
"201",1,0
"202",1,0
"203",1,1
"204",1,0
"205",1,0
"206",1,1
"207",0,0
"208",0,0
"209",1,1
"210",0,1
"211",1,1
"212",1,1
"213",1,0
"214",1,1
"215",1,0
"216",0,0
"217",1,1
"218",0,0
"219",0,1
"220",0,0
"221",1,1
"222",1,0
"223",0,1
"224",0,1
"225",0,1
"226",1,1
"227",1,1
"228",1,1
"229",1,1
"230",0,1
"231",1,1
"232",1,0
"233",1,1
"234",1,0
"235",0,0
"236",1,1
"237",1,0
"238",1,0
"239",0,1
"240",1,0
"241",1,1
"242",0,1
"243",0,1
"244",1,1
"245",0,1
"246",0,1
"247",1,1
"248",0,1
"249",1,1
"250",0,1
"251",0,1
"252",0,1
"253",1,1
"254",0,1
"255",1,1
"256",1,1
"257",0,0
"258",0,1
"259",1,0
"260",0,1
"261",0,1
"262",0,1
"263",1,1
"264",0,1
"265",0,0
"266",0,1
"267",0,0
"268",1,1
"269",0,1
"270",0,1
"271",0,1
"272",0,1
"273",0,1
"274",1,1
"275",1,0
"276",0,1
"277",0,1
"278",0,0
"279",0,0
"280",1,0
"281",0,0
"282",0,1
"283",0,1
"284",0,1
"285",1,1
"286",1,1
"287",0,1
"288",0,0
"289",0,0
"290",1,1
"291",1,0
"292",1,1
"293",0,1
"294",1,0
"295",0,1
"296",1,0
"297",0,1
"298",1,1
"299",0,1
"300",1,0
"301",1,0
"302",0,1
"303",0,0
"304",0,1
"305",0,1
"306",1,1
"307",1,0
"308",1,1
"309",1,1
"310",1,1
"311",0,1
"312",0,0
"313",1,1
"314",0,0
"315",0,1
"316",1,0
"317",1,1
"318",1,0
"319",0,0
"320",0,0
"321",0,1
"322",0,1
"323",1,1
"324",1,0
"325",1,0
"326",0,0
"327",1,1
"328",0,0
"329",1,1
"330",0,0
"331",0,0
"332",1,0
"333",1,0
"334",1,1
"335",0,0
"336",0,1
"337",0,1
"338",0,1
"339",1,0
"340",0,1
"341",0,1
"342",1,1
"343",0,1
"344",1,1
"345",0,0
"346",0,1
"347",0,1
"348",0,0
"349",0,1
"350",1,0
"351",1,0
"352",1,1
"353",1,1
"354",0,1
"355",0,1
"356",1,1
"357",0,1
"358",0,1
"359",0,0
"360",0,0
"361",1,1
"362",1,1
"363",0,1
"364",1,0
"365",0,1
"366",1,0
"367",1,0
"368",1,1
"369",1,0
"370",1,0
"371",0,1
"372",1,0
"373",0,1
"374",1,1
"375",1,1
"376",0,1
"377",1,1
"378",1,0
"379",0,0
"380",0,1
"381",1,1
"382",1,1
"383",0,1
"384",0,1
"385",1,0
"386",0,0
"387",0,1
"388",0,0
"389",0,0
"390",0,1
"391",0,1
"392",1,0
"393",0,1
"394",1,0
"395",1,1
"396",1,1
"397",1,0
"398",0,1
"399",0,0
"400",0,1
"401",1,0
"402",0,0
"403",1,1
"404",1,0
"405",1,1
"406",1,1
"407",0,0
"408",1,0
"409",1,0
"410",0,1
"411",1,1
"412",0,0
"413",0,1
"414",1,0
"415",0,1
"416",0,1
"417",1,1
"418",1,0
"419",0,1
"420",0,0
"421",1,1
"422",1,1
"423",1,1
"424",0,1
"425",0,0
"426",1,0
"427",1,0
"428",0,1
"429",1,1
"430",1,1
"431",1,1
"432",0,0
"433",0,0
"434",1,1
"435",1,1
"436",0,1
"437",1,1
"438",0,0
"439",1,0
"440",0,0
"441",0,1
"442",1,1
"443",0,0
"444",0,1
"445",1,1
"446",1,0
"447",0,0
"448",1,1
"449",1,0
"450",1,1
"451",0,1
"452",0,1
"453",1,1
"454",0,1
"455",1,1
"456",0,1
"457",0,0
"458",0,1
"459",1,1
"460",0,1
"461",1,1
"462",1,0
"463",0,0
"464",0,1
"465",1,0
"466",1,0
"467",0,0
"468",1,1
"469",1,0
"470",0,0
"471",0,1
"472",1,0
"473",1,0
"474",1,1
"475",0,1
"476",0,1
"477",1,0
"478",0,1
"479",0,0
"480",0,0
"481",0,0
"482",0,1
"483",0,1
"484",0,1
"485",0,1
"486",0,0
"487",0,1
"488",0,1
"489",1,0
"490",1,0
"491",0,1
"492",0,1
"493",0,1
"494",1,0
"495",1,0
"496",0,0
"497",0,0
"498",0,1
"499",1,0
"500",0,0
"501",0,0
"502",0,1
"503",1,1
"504",1,0
"505",0,1
"506",1,0
"507",0,1
"508",0,0
"509",1,0
"510",0,0
"511",1,1
"512",0,0
"513",0,0
"514",0,1
"515",0,1
"516",1,0
"517",0,0
"518",1,1
"519",0,0
"520",0,1
"521",0,0
"522",0,1
"523",0,0
"524",0,1
"525",1,0
"526",1,1
"527",0,1
"528",0,1
"529",0,0
"530",0,1
"531",1,1
"532",1,1
"533",1,0
"534",1,0
"535",1,0
"536",0,0
"537",0,1
"538",0,1
"539",0,1
"540",1,1
"541",1,1
"542",1,0
"543",1,0
"544",1,0
"545",1,0
"546",1,1
"547",1,1
"548",0,1
"549",0,1
"550",1,1
"551",1,1
"552",0,0
"553",0,1
"554",0,0
"555",1,1
"556",0,0
"557",0,1
"558",1,1
"559",0,1
"560",0,1
"561",0,1
"562",0,1
"563",0,1
"564",1,1
"565",0,1
"566",0,1
"567",1,0
"568",0,1
"569",0,1
"570",1,1
"571",0,0
"572",1,0
"573",0,0
"574",1,0
"575",1,1
"576",0,1
"577",1,1
"578",0,1
"579",0,0
"580",1,0
"581",1,1
"582",1,1
"583",0,1
"584",1,1
"585",0,1
"586",1,0
"587",1,1
"588",0,0
"589",0,1
"590",1,1
"591",1,1
"592",0,1
"593",0,1
"594",0,0
"595",0,0
"596",0,1
"597",0,0
"598",0,1
"599",1,0
"600",0,1
"601",0,1
"602",1,1
"603",0,0
"604",1,0
"605",1,1
"606",1,0
"607",0,1
"608",0,1
"609",0,0
"610",0,1
"611",1,1
"612",1,0
"613",1,1
"614",0,0
"615",0,0
"616",1,0
"617",0,0
"618",0,1
"619",1,1
"620",0,0
"621",0,1
"622",0,1
"623",1,1
"624",1,0
"625",1,1
"626",0,1
"627",1,0
"628",0,1
"629",0,0
"630",1,0
"631",0,1
"632",0,0
"633",0,1
"634",0,1
"635",1,0
"636",1,1
"637",0,1
"638",0,0
"639",0,1
"640",0,1
"641",1,1
"642",1,0
"643",1,0
"644",1,0
"645",1,0
"646",1,1
"647",1,1
"648",0,1
"649",0,1
"650",0,1
"651",1,1
"652",0,0
"653",1,0
"654",1,1
"655",0,0
"656",0,0
"657",0,0
"658",0,1
"659",1,0
"660",1,0
"661",1,1
"662",0,0
"663",0,1
"664",1,1
"665",1,1
"666",0,1
"667",1,0
"668",1,0
"669",0,0
"670",1,0
"671",0,0
"672",1,0
"673",0,1
"674",0,1
"675",0,1
"676",1,1
"677",0,1
"678",1,0
"679",0,0
"680",1,1
"681",0,1
"682",1,1
"683",0,0
"684",1,1
"685",0,1
"686",1,1
"687",0,0
"688",0,0
"689",1,1
"690",0,1
"691",1,1
"692",0,0
"693",1,1
"694",1,0
"695",0,1
"696",0,1
"697",0,0
"698",1,1
"699",1,0
"700",1,0
"701",1,1
"702",1,0
"703",0,1
"704",0,0
"705",1,1
"706",1,0
"707",0,1
"708",0,1
"709",0,1
"710",0,0
"711",0,1
"712",0,1
"713",1,1
"714",1,1
"715",1,1
"716",0,0
"717",0,0
"718",0,1
"719",1,0
"720",1,0
"721",0,0
"722",1,0
"723",0,1
"724",0,1
"725",0,1
"726",0,1
"727",0,0
"728",1,1
"729",0,1
"730",0,1
"731",0,1
"732",0,0
"733",0,1
"734",0,0
"735",1,0
"736",0,0
"737",1,1
"738",0,1
"739",1,1
"740",0,0
"741",0,0
"742",1,1
"743",1,1
"744",0,0
"745",0,1
"746",0,0
"747",1,0
"748",0,0
"749",0,1
"750",0,1
"751",1,1
"752",0,1
"753",0,0
"754",0,0
"755",0,1
"756",1,1
"757",0,0
"758",1,0
"759",0,0
"760",1,0
"761",0,0
"762",1,1
"763",0,1
"764",0,1
"765",0,1
"766",0,1
"767",1,1
"768",0,0
"769",0,0
"770",0,1
"771",0,1
"772",1,0
"773",1,1
"774",0,1
"775",0,0
"776",1,1
"777",1,1
"778",1,0
"779",1,1
"780",0,1
"781",1,1
"782",1,1
"783",0,1
"784",1,1
"785",0,1
"786",1,1
"787",0,0
"788",0,1
"789",0,0
"790",0,0
"791",0,0
"792",1,0
"793",1,1
"794",1,1
"795",1,0
"796",1,1
"797",0,1
"798",1,1
"799",1,1
"800",1,1
"801",0,1
"802",0,1
"803",0,1
"804",1,0
"805",1,1
"806",1,1
"807",0,0
"808",1,0
"809",0,0
"810",0,1
"811",0,0
"812",0,1
"813",1,0
"814",0,0
"815",0,1
"816",1,1
"817",1,0
"818",0,1
"819",1,0
"820",1,0
"821",1,0
"822",0,1
"823",1,0
"824",1,1
"825",0,1
"826",0,0
"827",0,1
"828",0,1
"829",0,1
"830",1,0
"831",1,1
"832",0,1
"833",1,1
"834",1,0
"835",1,0
"836",0,1
"837",1,0
"838",1,1
"839",0,0
"840",0,0
"841",1,1
"842",1,1
"843",1,1
"844",0,0
"845",0,1
"846",0,1
"847",0,0
"848",1,0
"849",1,1
"850",1,0
"851",0,1
"852",0,0
"853",1,1
"854",1,1
"855",1,1
"856",1,1
"857",0,0
"858",0,1
"859",0,0
"860",0,1
"861",1,0
"862",1,0
"863",0,1
"864",1,0
"865",1,0
"866",0,1
"867",1,1
"868",0,0
"869",0,1
"870",1,0
"871",1,0
"872",1,0
"873",0,1
"874",0,1
"875",1,1
"876",0,0
"877",0,1
"878",1,0
"879",1,1
"880",1,1
"881",1,1
"882",0,0
"883",1,0
"884",0,1
"885",0,1
"886",0,1
"887",0,1
"888",1,0
"889",1,0
"890",1,1
"891",1,1
"892",0,1
"893",0,1
"894",0,0
"895",0,1
"896",1,1
"897",0,1
"898",1,1
"899",1,1
"900",1,1
"901",0,0
"902",0,1
"903",0,1
"904",0,1
"905",1,1
"906",1,1
"907",1,1
"908",0,0
"909",1,0
"910",1,0
"911",0,1
"912",1,0
"913",0,0
"914",0,1
"915",1,0
"916",0,0
"917",1,0
"918",1,1
"919",0,1
"920",0,1
"921",1,1
"922",0,1
"923",1,1
"924",1,1
"925",1,0
"926",0,0
"927",1,1
"928",0,1
"929",1,1
"930",0,0
"931",0,1
"932",1,0
"933",1,0
"934",1,0
"935",0,1
"936",0,1
"937",1,1
"938",1,1
"939",0,0
"940",1,0
"941",0,0
"942",0,0
"943",0,0
"944",1,1
"945",1,0
"946",0,1
"947",0,0
"948",1,1
"949",1,1
"950",1,1
"951",1,0
"952",0,1
"953",0,0
"954",0,0
"955",1,0
"956",0,1
"957",1,0
"958",1,0
"959",1,0
"960",0,1
"961",1,0
"962",1,1
"963",0,1
"964",0,1
"965",0,0
"966",0,0
"967",0,1
"968",0,1
"969",0,0
"970",1,0
"971",0,1
"972",0,0
"973",0,1
"974",1,1
"975",1,0
"976",1,1
"977",0,0
"978",1,0
"979",1,0
"980",0,0
"981",0,1
"982",1,1
"983",1,0
"984",0,1
"985",0,0
"986",1,1
"987",1,1
"988",0,0
"989",0,1
"990",1,0
"991",0,0
"992",0,1
"993",0,0
"994",0,0
"995",0,1
"996",0,1
"997",1,0
"998",0,1
"999",1,1
"1000",1,1
